Date & Time,Asset,Direction,Exit Signal,Raw Trade P&L (%),Scaled Portfolio P&L (%),Compounded Equity ($),High Water Mark ($),Drawdown (%)
2024-06-30 04:00:00,BONK,Short,Exit Short (Green),0.23%,0.066%,82943.7,83922.39,-1.17%
2024-06-30 12:00:00,BONK,Short,🛑 SL,-1.44%,-0.415%,82599.83,83922.39,-1.58%
2024-06-30 12:00:00,DOGE,Short,Exit Short (Green),-0.56%,-0.161%,82466.66,83922.39,-1.73%
2024-06-30 16:00:00,BONK,Short,🛑 SL,-1.44%,-0.415%,82124.78,83922.39,-2.14%
2024-07-03 00:00:00,SUI,Short,🛑 SL,-0.99%,-0.285%,81890.7,83922.39,-2.42%
2024-07-03 08:00:00,LTC,Short,🛑 SL,-0.61%,-0.176%,81746.89,83922.39,-2.59%
2024-07-03 12:00:00,SUI,Short,Exit Short (Green),-0.20%,-0.058%,81699.82,83922.39,-2.65%
2024-07-03 20:00:00,LTC,Short,💰 TP,6.01%,1.730%,83113.45,83922.39,-0.96%
2024-07-03 20:00:00,BNB,Short,Exit Short (Green),2.04%,0.587%,83601.59,83922.39,-0.38%
2024-07-03 20:00:00,DOGE,Short,Exit Short (Green),1.67%,0.481%,84003.54,84003.54,-0.00%
2024-07-04 00:00:00,ALGO,Short,🛑 SL,-0.93%,-0.268%,83778.62,84003.54,-0.27%
2024-07-04 08:00:00,ADA,Short,🛑 SL,-0.69%,-0.199%,83612.2,84003.54,-0.47%
2024-07-04 08:00:00,BONK,Short,🛑 SL,-1.49%,-0.429%,83253.52,84003.54,-0.89%
2024-07-04 20:00:00,ADA,Short,💰 TP,6.90%,1.987%,84907.36,84907.36,-0.00%
2024-07-04 20:00:00,BONK,Short,💰 TP,14.63%,4.212%,88483.64,88483.64,-0.00%
2024-07-04 20:00:00,ALGO,Short,💰 TP,9.24%,2.660%,90837.48,90837.48,-0.00%
2024-07-11 20:00:00,DOGE,Short,🛑 SL,-1.08%,-0.311%,90555.04,90837.48,-0.31%
2024-07-18 12:00:00,SUI,Short,🛑 SL,-0.97%,-0.279%,90302.15,90837.48,-0.59%
2024-07-18 16:00:00,SUI,Short,🛑 SL,-0.97%,-0.279%,90049.97,90837.48,-0.87%
2024-07-18 16:00:00,LTC,Short,🛑 SL,-0.53%,-0.153%,89912.57,90837.48,-1.02%
2024-07-18 20:00:00,LTC,Short,🛑 SL,-0.52%,-0.150%,89777.96,90837.48,-1.17%
2024-07-19 00:00:00,SUI,Short,🛑 SL,-0.96%,-0.276%,89529.83,90837.48,-1.44%
2024-07-19 08:00:00,LTC,Short,🛑 SL,-0.52%,-0.150%,89395.8,90837.48,-1.59%
2024-07-22 20:00:00,LTC,Short,🛑 SL,-0.49%,-0.141%,89269.68,90837.48,-1.73%
2024-07-23 04:00:00,LTC,Short,🛑 SL,-0.48%,-0.138%,89146.32,90837.48,-1.86%
2024-07-25 04:00:00,ADA,Short,Exit Short (Green),1.66%,0.478%,89572.36,90837.48,-1.39%
2024-07-25 04:00:00,LTC,Short,Exit Short (Green),1.93%,0.556%,90070.07,90837.48,-0.84%
2024-07-25 04:00:00,SUI,Short,Exit Short (Green),6.82%,1.963%,91838.58,91838.58,-0.00%
2024-07-25 04:00:00,ALGO,Short,Exit Short (Green),3.87%,1.114%,92861.82,92861.82,-0.00%
2024-07-28 16:00:00,SUI,Short,🛑 SL,-0.86%,-0.248%,92631.9,92861.82,-0.25%
2024-07-29 16:00:00,SUI,Short,🛑 SL,-0.85%,-0.245%,92405.21,92861.82,-0.49%
2024-07-29 20:00:00,ADA,Short,🛑 SL,-0.55%,-0.158%,92258.89,92861.82,-0.65%
2024-07-30 20:00:00,SUI,Short,Exit Short (Green),4.02%,1.157%,93326.66,93326.66,-0.00%
2024-07-30 20:00:00,ALGO,Short,Exit Short (Green),-0.04%,-0.012%,93315.91,93326.66,-0.01%
2024-07-31 08:00:00,ADA,Short,Exit Short (Green),0.37%,0.107%,93415.31,93415.31,-0.00%
2024-07-31 20:00:00,LTC,Short,🛑 SL,-0.45%,-0.130%,93294.29,93415.31,-0.13%
2024-08-01 00:00:00,BTC,Long,Exit Signal,0.90%,0.270%,93546.18,93546.18,-0.00%
2024-08-01 08:00:00,DOGE,Short,Exit Short (Green),2.24%,0.645%,94149.46,94149.46,-0.00%
2024-08-01 08:00:00,ADA,Short,Exit Short (Green),0.69%,0.199%,94336.49,94336.49,-0.00%
2024-08-01 08:00:00,ALGO,Short,Exit Short (Green),2.79%,0.803%,95094.24,95094.24,-0.00%
2024-08-01 08:00:00,BONK,Short,Exit Short (Green),6.76%,1.946%,96944.97,96944.97,-0.00%
2024-08-01 08:00:00,SUI,Short,Exit Short (Green),2.24%,0.645%,97570.16,97570.16,-0.00%
2024-08-01 16:00:00,BNB,Short,Exit Short (Green),1.58%,0.455%,98013.99,98013.99,-0.00%
2024-08-02 04:00:00,BNB,Short,🛑 SL,-0.40%,-0.115%,97901.12,98013.99,-0.12%
2024-08-02 08:00:00,DOGE,Short,🛑 SL,-0.83%,-0.239%,97667.17,98013.99,-0.35%
2024-08-02 08:00:00,ALGO,Short,🛑 SL,-0.80%,-0.230%,97442.23,98013.99,-0.58%
